Company Name,year,count
ULA,2012,10
ULA,2013,11
ULA,2014,14
ULA,2015,12
ULA,2016,12
ULA,2017,8
ULA,2018,8
ULA,2019,5
ULA,2020,4
US Air Force,1958,2
US Air Force,1959,10
US Air Force,1960,21
US Air Force,1961,23
US Air Force,1962,41
US Air Force,1963,6
US Air Force,1964,2
US Air Force,1965,2
US Air Force,1966,3
US Air Force,1967,7
US Air Force,1968,8
US Air Force,1969,6
US Air Force,1970,5
US Air Force,1971,4
US Air Force,1972,4
US Air Force,1973,3
US Air Force,1974,3
US Air Force,1975,2
US Air Force,1976,2
US Air Force,1977,2
US Air Force,1979,1
US Air Force,1981,1
US Air Force,1982,1
US Air Force,1983,1
US Air Force,1984,1
US Navy,1957,1
US Navy,1958,12
US Navy,1959,4
UT,1966,2
UT,1967,1
UT,1969,1
UT,1970,1
VKS RF,1992,14
VKS RF,1993,26
VKS RF,1994,21
VKS RF,1995,12
VKS RF,1996,9
VKS RF,1997,7
VKS RF,1998,9
VKS RF,1999,6
VKS RF,2000,6
VKS RF,2001,6
VKS RF,2002,6
VKS RF,2003,6
VKS RF,2004,7
VKS RF,2005,5
VKS RF,2006,3
VKS RF,2007,5
VKS RF,2008,5
VKS RF,2009,3
VKS RF,2010,3
VKS RF,2011,1
VKS RF,2012,1
VKS RF,2013,7
VKS RF,2014,4
VKS RF,2015,3
VKS RF,2016,4
VKS RF,2017,6
VKS RF,2018,5
VKS RF,2019,8
VKS RF,2020,3
Virgin Orbit,2020,1
Yuzhmash,1969,1
Yuzhmash,1991,1
i-Space,2019,1
