Item,Location,Longitude,Latitude
194, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
195, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
196, M?hia Peninsula New Zealand,177.864944,-39.261508
197, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
198, Plesetsk Cosmodrome Russia,40.574814,62.927843
199, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
200, Tanegashima Space Center Japan,130.97126149653548,30.4034117
201, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
202, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
203, Plesetsk Cosmodrome Russia,40.574814,62.927843
204, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
205, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
206, Cape Canaveral AFS Florida USA,-80.572293,28.488798
207, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
208, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
209, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
210, Vandenberg AFB California USA,-120.58262457020024,34.73835455
211, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
212, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
213, Tanegashima Space Center Japan,130.97126149653548,30.4034117
214, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
215, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
216, Vandenberg AFB California USA,-120.58262457020024,34.73835455
217, Cape Canaveral AFS Florida USA,-80.572293,28.488798
218,"Taiyuan Satellite Launch Center, China",111.60532243338425,38.84978335
219, Spaceport America New Mexico,-106.97201467147372,32.9897111
220, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
221, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
222, Cape Canaveral AFS Florida USA,-80.572293,28.488798
223, Cape Canaveral AFS Florida USA,-80.572293,28.488798
224, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
225, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
226, Vandenberg AFB California USA,-120.58262457020024,34.73835455
227, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
228, Cape Canaveral AFS Florida USA,-80.572293,28.488798
229, West Texas Texas USA,-98.1626132,26.172826
230, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
231, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
232, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
233, Cape Canaveral AFS Florida USA,-80.572293,28.488798
234, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
235, Plesetsk Cosmodrome Russia,40.574814,62.927843
236, Tanegashima Space Center Japan,130.97126149653548,30.4034117
237, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
238, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
239, Cape Canaveral AFS Florida USA,-80.572293,28.488798
240, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
241, Vandenberg AFB California USA,-120.58262457020024,34.73835455
242, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
243, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
244, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
245, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
246, Vandenberg AFB California USA,-120.58262457020024,34.73835455
247, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
248, West Texas Texas USA,-98.1626132,26.172826
249, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
250, Plesetsk Cosmodrome Russia,40.574814,62.927843
251, Cape Canaveral AFS Florida USA,-80.572293,28.488798
252, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
253, Cape Canaveral AFS Florida USA,-80.572293,28.488798
254, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
255, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
256, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
257, Cape Canaveral AFS Florida USA,-80.572293,28.488798
258, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
259, Vandenberg AFB California USA,-120.58262457020024,34.73835455
260, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
261, Plesetsk Cosmodrome Russia,40.574814,62.927843
262, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
263, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
264, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
265, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
266, Cape Canaveral AFS Florida USA,-80.572293,28.488798
267, Cape Canaveral AFS Florida USA,-80.572293,28.488798
268, Tanegashima Space Center Japan,130.97126149653548,30.4034117
269, Vandenberg AFB California USA,-120.58262457020024,34.73835455
270, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
271, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
272, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
273,"Uchinoura Space Center, Japan",131.07879609473065,31.25411165
274, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
275, Vostochny Cosmodrome Russia,128.33086879328096,51.881337849999994
276, Cape Canaveral AFS Florida USA,-80.572293,28.488798
277, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
278, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
279, M?hia Peninsula New Zealand,177.864944,-39.261508
280, Cape Canaveral AFS Florida USA,-80.572293,28.488798
281, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
282, Uchinoura Space Center Japan,131.07879609473065,31.25411165
283, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
284, Vandenberg AFB California USA,-120.58262457020024,34.73835455
285, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
286, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
287, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
